제목,저자,출판사,발매일,가격,평점,장르
사랑하면 헷갈리게 하지 않는다,마크 최,포레스트북스,2023.01.25 (종이책 출간 2023.01.31),"10,800원",10,시/에세이
그리고 모든 것이 변했다,아니타 무르자니,샨티,2023.02.11 (종이책 출간 2022.03.05),"13,500원",0,시/에세이
꽃말의 탄생 : 서양 문화로 읽는 매혹적인 꽃 이야기,샐리 쿨타드,동양북스,2022.12.05,"12,285원",0,시/에세이
축구를 하며 생각한 것들,손흥민,브레인스토어,2022.11.10 (종이책 출간 2020.08.21),"11,340원",9.9,시/에세이
"보들레르의 악 惡 의 꽃.The Book of The Flowers of Evil, by Charles Baudelaire",Charles Baudelaire,단하나출판사,2022.03.28,"18,000원",0,시/에세이
보통의 존재,이석원,달,2013.10.15 (종이책 출간 2009.11.04),"8,190원",9.2,시/에세이
사랑의 목격,최유수,허밍버드,2020.02.18 (종이책 출간 2020.01.28),"7,875원",8.9,시/에세이
그땐 그 길이 왜 그리 좁았던고,김진,해누리기획,2014.02.10 (종이책 출간 2009.03.20),"3,600원",10,시/에세이
법관의 일,송민경,문학동네,2022.06.22 (종이책 출간 2022.05.26),"11,160원",10,시/에세이
여행의 이유,김영하,문학동네,2019.06.03 (종이책 출간 2019.04.17),"8,550원",9.4,시/에세이
언더그라운드 2: 약속된 장소에서,무라카미 하루키,문학동네,2022.07.20 (종이책 출간 2010.11.24),"7,560원",10,시/에세이
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,2020.07.14 (종이책 출간 2020.05.30),"7,020원",9.7,시/에세이
친애하는 나의 집에게,하재영,라이프앤페이지,2020.12.24 (종이책 출간 2020.12.08),"9,450원",10,시/에세이
누구에게도 상처받을 필요는 없다,지민석,스튜디오오드리,2022.04.27 (종이책 출간 2022.04.08),"8,820원",9.3,시/에세이
밤은 이야기하기 좋은 시간이니까요,이도우,위즈덤하우스,2020.04.01 (종이책 출간 2020.03.31),"9,450원",9.1,시/에세이
전쟁터로 가는 간호사,시라카와 유코,끌레마,2021.07.22 (종이책 출간 2021.07.06),"9,270원",9.7,시/에세이
이 불안에서 이불 안에서,김여진,빌리버튼,2017.08.29 (종이책 출간 2017.08.23),"8,010원",9.4,시/에세이
당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),김상현,필름(Feelm),2022.05.04 (종이책 출간 2022.04.20),"9,450원",9.9,시/에세이
"아무튼, 술",김혼비,제철소,2019.05.13 (종이책 출간 2019.05.07),"6,930원",9.1,시/에세이
너라는 선물,전대진,넥서스BOOKS,2022.01.12 (종이책 출간 2021.12.15),"10,620원",10,시/에세이
바보시인,이승규,좋은땅,2016.09.12 (종이책 출간 2016.09.05),"5,400원",9.3,시/에세이
우리가 보낸 가장 긴 밤,이석원,달,2021.03.10 (종이책 출간 2021.02.22),"7,470원",9.3,시/에세이
TV대통령 선언,백먹방,하움출판사,2023.02.17 (종이책 출간 2023.02.17),"7,200원",0,시/에세이
일터에서 어른이 되는 중입니다.,Rocky,작가와,2023.02.13,"9,810원",10,시/에세이
공무원 좋지. 뭐? 법원직? 일단 이거 읽어봐!,이승훈,e퍼플,2023.02.10,"2,700원",10,시/에세이
별빛 너머의 별,나태주,알에이치코리아,2023.02.02 (종이책 출간 2023.01.25),"11,340원",10,시/에세이
나를 만든 말,신소율,필름(Feelm),2023.01.25 (종이책 출간 2023.01.25),"10,080원",10,시/에세이
"하루 10분, 할 수 있는 것들",김서아,작가와,2023.01.06,"3,420원",0,시/에세이
상대적이며 절대적인 고양이 백과사전,베르나르 베르베르,열린책들,2022.12.20 (종이책 출간 2022.12.20),"10,800원",9.8,시/에세이
그렇게 죽지 않는다,홍영아,어떤책,2022.11.25,"10,800원",0,시/에세이
사춘기라는 우주,황영미,허밍버드,2022.09.22 (종이책 출간 2022.09.22),"9,450원",9.9,시/에세이
망그러진 만화,유랑,좋은생각,2022.11.01,"10,584원",0,시/에세이
계절의 위로,서은,지식인하우스,2022.10.19 (종이책 출간 2022.08.17),"10,800원",9.2,시/에세이
젊은 시인에게 보내는 편지,라이너 마리아 릴케,기파랑,2022.10.13 (종이책 출간 2012.05.31),"5,400원",0,시/에세이
스토리텔링을 통한 공간의 가치,이창민,위에스앤에스,2020.10.20,"12,870원",0,시/에세이
드라마 에세이 지은탁과 김신과 김선 (도깨비),장창훈,미디어북,2018.04.15,900원,7.5,시/에세이
감옥으로부터의 사색,신영복,돌베개,2015.05.14 (종이책 출간 2010.09.01),"8,190원",9.5,시/에세이
쇼펜하우어 인생론 에세이,쇼펜하우어,붐북,2014.10.02,"3,600원",10,시/에세이
말의 사막에서,김광림,한국문학도서관,1989.08.01,"1,800원",0,시/에세이
잃어버린 신발 열켤레,윤학,흰물결,2011.07.15 (종이책 출간 2006.08.15),"9,450원",10,시/에세이
백년 후에 읽어도 좋을 잠언 315,김옥림,미래북,2021.03.11 (종이책 출간 2017.01.17),"8,820원",8.9,시/에세이
번역가 모모 씨의 일일,노승영,세종서적,2018.09.21 (종이책 출간 2018.08.21),"8,820원",9.1,시/에세이
스물한 편의 연애편지,조윤경 (편역),글빛,2012.10.13 (종이책 출간 2003.12.20),"5,040원",7.5,시/에세이
감옥으로부터의 사색 [제3판],신영복,돌베개,2022.03.01 (종이책 출간 2018.10.30),"10,800원",9.8,시/에세이
이것이 인간인가,프리모 레비,돌베개,2020.07.03 (종이책 출간 2007.01.12),"7,560원",9.4,시/에세이
신춘문예 당선시집. 2008,문정,문학세계사,2013.04.15 (종이책 출간 2008.01.15),"5,040원",10,시/에세이
나와 청소년문학 20년,박상률,학교도서관저널,2017.08.15 (종이책 출간 2016.08.03),"8,820원",0,시/에세이
힐빌리의 노래,J. D.밴스,흐름출판,2017.09.01 (종이책 출간 2017.09.04),"10,656원",9.3,시/에세이
"사랑하게 해줘서, 고마워",김재식,쌤앤파커스,2019.01.09 (종이책 출간 2019.01.03),"8,820원",9.7,시/에세이
단 하루도 너를 사랑하지 않은 날이 없다,김재식,쌤앤파커스,2018.03.19 (종이책 출간 2018.03.02),"8,820원",9.3,시/에세이
그대가 생각났습니다,이정하,연인M&B,2021.09.07 (종이책 출간 2021.03.10),"7,020원",10,시/에세이
이옥봉의 몽혼,하응백,휴먼앤북스,2011.10.22 (종이책 출간 2009.11.30),"5,400원",10,시/에세이
무례한 사람에게 웃으며 대처하는 법,정문정,가나출판사,2018.01.08 (종이책 출간 2017.01.08),"8,694원",9,시/에세이
삶의 격,페터 비에리,은행나무,2014.11.26 (종이책 출간 2014.10.29),"9,900원",9.5,시/에세이
코딩하는 공익,반병현,세창출판사,2021.08.13 (종이책 출간 2020.04.27),"10,800원",10,시/에세이
인생 따위 엿이나 먹어라,마루야마 겐지,바다출판사,2017.06.09 (종이책 출간 2013.10.30),"7,650원",8.7,시/에세이
고독한 이방인의 산책,다니엘 튜더,문학동네,2021.06.29 (종이책 출간 2021.02.01),"8,550원",8.7,시/에세이
제법 안온한 날들,남궁인,문학동네,2020.04.29 (종이책 출간 2020.03.05),"9,450원",9.6,시/에세이
연필로 쓰기,김훈,문학동네,2019.04.11 (종이책 출간 2019.03.27),"9,810원",9.7,시/에세이
오늘은 좀 매울지도 몰라,강창래,문학동네,2018.05.16 (종이책 출간 2018.04.20),"8,100원",9.7,시/에세이
전쟁은 여자의 얼굴을 하지 않았다,스베틀라나 알렉시예비치,문학동네,2015.10.15 (종이책 출간 2015.10.08),"10,080원",9.5,시/에세이
하오팅캘리의 슬기로운 기록생활,이호정(하오팅캘리),21세기북스,2022.01.21 (종이책 출간 2022.01.12),"12,960원",9.8,시/에세이
아이 친구 엄마라는 험난한 세계,박혜란,마시멜로,2022.05.30 (종이책 출간 2022.05.25),"10,800원",9.4,시/에세이
바보 빅터,호아킴 데 포사다,한국경제신문사,2011.02.22 (종이책 출간 2011.03.02),"8,640원",9.4,시/에세이
왜 주인공은 모두 길을 떠날까?,신동흔,샘터(샘터사),2015.06.01 (종이책 출간 2014.12.24),"6,300원",9.4,시/에세이
젊은 ADHD의 슬픔,정지음,민음사,2021.06.30 (종이책 출간 2021.06.25),"8,820원",9.5,시/에세이
해바라기밭의 리토르넬로,최문자,민음사,2022.05.26 (종이책 출간 2022.03.04),"6,300원",0,시/에세이
우리가 훔친 것들이 만발한다,최문자,민음사,2019.06.20 (종이책 출간 2019.05.10),"6,300원",10,시/에세이
나는 나를 괴롭히지 않겠다,융 푸에블로,정신세계사,2022.08.25 (종이책 출간 2022.08.10),"8,190원",10,시/에세이
떠난 후에 남겨진 것들,김새별,청림출판,2020.10.19 (종이책 출간 2020.09.29),"9,090원",9.5,시/에세이
나는 환생을 믿지 않았다,브라이언 와이스,김영사,2019.03.14 (종이책 출간 2019.03.13),"9,270원",10,시/에세이
모래알만 한 진실이라도,박완서,세계사,2023.01.31 (종이책 출간 2022.06.30),"11,250원",9.8,시/에세이
네 생각이 날 때쯤,이문교,알에이치코리아,2017.06.19 (종이책 출간 2017.05.25),"8,694원",10,시/에세이
그 남자 그 여자. 2,이미나,걷는나무,2014.03.25 (종이책 출간 2013.12.17),"8,190원",9,시/에세이
보이지 않는 곳에서 애쓰고 있는 너에게,최대호,떠오름,2022.07.18 (종이책 출간 2021.12.28),"6,840원",9.8,시/에세이
인생은 실전이다,주언규,상상스퀘어,2021.09.03 (종이책 출간 2021.09.08),"11,610원",9.2,시/에세이
퇴근은 내가 할게 출근은 누가 할래,최세화,딥앤와이드,2021.01.27 (종이책 출간 2020.11.25),"8,820원",10,시/에세이
더 성숙한 내가 되는 법,김유신,떠오름,2022.07.15 (종이책 출간 2021.05.26),"9,072원",10,시/에세이
혼자가 되었지만 홀로 설 수 있다면,도연,디 이니셔티브,2021.05.26 (종이책 출간 2021.03.21),"9,990원",9.9,시/에세이
지쳤거나 좋아하는 게 없거나,글배우,강한별,2019.12.06 (종이책 출간 2019.09.04),"8,505원",9.2,시/에세이
지적 대화를 위한 넓고 얕은 지식 2,채사장,웨일북(whalebooks),2020.02.21 (종이책 출간 2020.02.05),"10,080원",9.8,인문
만일 내가 인생을 다시 산다면(10만 부 기념 스페셜 에디션),김혜남,메이븐,2022.11.11 (종이책 출간 2022.11.11),"10,800원",9.7,인문
당신도 느리게 나이 들 수 있습니다,정희원,더퀘스트,2023.01.19 (종이책 출간 2023.01.17),"12,816원",9.9,인문
씽킹 101,안우경,흐름출판,2023.01.19 (종이책 출간 2023.01.05),"15,120원",9.7,인문
사랑의 기술,에리히 프롬,문예출판사,2019.08.30 (종이책 출간 2019.09.01),"7,560원",9.4,인문
정의란 무엇인가,마이클 샌델,와이즈베리,2014.11.20 (종이책 출간 2014.11.20),"9,450원",9.6,인문
클루지,개리 마커스,갤리온,2019.07.23 (종이책 출간 2008.11.24),"8,694원",9.2,인문
인스타 브레인,안데르스 한센,동양북스,2020.11.03 (종이책 출간 2020.05.15),"9,450원",9.4,인문
내 문장이 그렇게 이상한가요?,김정선,유유,2016.03.18 (종이책 출간 2016.01.24),"7,560원",9.4,인문
12가지 인생의 법칙,조던 B. 피터슨,메이븐,2023.02.10 (종이책 출간 2023.02.10),"11,430원",10,인문
당신이 옳다,정혜신,해냄출판사,2018.10.11 (종이책 출간 2018.10.10),"9,450원",9.5,인문
나는 왜 생각이 많을까?,홋타 슈고,서사원,2021.11.16 (종이책 출간 2021.07.19),"9,000원",9.5,인문
초역 니체의 말,프리드리히 니체,삼호미디어,2022.11.28 (종이책 출간 2022.08.29),"9,954원",7.5,인문
안대회ㆍ이종묵ㆍ정민의 매일 읽는 우리 옛글 87: 아프니까 철쭉이다 外,이제신 外,민음사,2017.06.17,900원,10,인문
정리하는 뇌,대니얼 J. 레비틴,와이즈베리,2019.07.18 (종이책 출간 2015.06.22),"13,860원",9.3,인문
말과 사물,미셸 푸코,민음사,2019.10.25 (종이책 출간 2012.02.29),"17,640원",10,인문
켄 윌버의 통합비전,켄 윌버,김영사,2015.08.10 (종이책 출간 2014.10.13),"8,190원",8.7,인문
공황장애 3편: 불안 다스리기,제이콥 정,북앤로드,2021.06.21 (종이책 출간 2021.06.30),"17,550원",10,인문
데일리 필로소피,라이언 홀리데이,다산초당,2021.12.24 (종이책 출간 2021.12.24),"11,340원",10,인문
아비투스,도리스 메르틴,다산초당,2020.08.07 (종이책 출간 2020.08.03),"11,340원",9,인문
관상궁합,안준범,유아이북스,2021.05.21 (종이책 출간 2017.03.10),"8,820원",9.3,인문
키에르케고어 선집. 5: 공포와 전율,쇠얀 키에르케고어,다산글방,2015.06.12,"6,300원",10,인문
매우 예민한 사람들을 위한 책(10만 부 기념 리커버),전홍진,글항아리,2020.08.24 (종이책 출간 2020.07.23),"12,150원",9.1,인문
돈으로 살 수 없는 것들,마이클 샌델,와이즈베리,2013.05.22 (종이책 출간 2012.04.24),"10,080원",9.6,인문
끝내주는 맞춤법: 쓰는 사람을 위한 반복의 힘,김정선,유유,2021.03.12 (종이책 출간 2021.03.04),"10,080원",9.9,인문
미움받을 용기(200만 부 기념 스페셜 에디션),기시미 이치로,인플루엔셜,2023.01.11 (종이책 출간 2022.12.28),"11,430원",9.6,인문
이제 막 교사가 되었습니다,"오소정,김연수,윤효성",넥서스CROSS,2022.12.20 (종이책 출간 2023.01.03),"11,700원",10,인문
성격의 탄생,대니얼 네틀,와이즈북,2018.09.13 (종이책 출간 2009.12.10),"10,800원",8.2,인문
도파민네이션,애나 렘키,흐름출판,2022.03.29 (종이책 출간 2022.03.21),"12,960원",9.4,인문
"유럽도시기행 2: 빈, 부다페스트, 프라하, 드레스덴 편",유시민,생각의길,2022.07.08 (종이책 출간 2022.07.09),"13,500원",9.8,인문
별자리로 운명 읽기. 2: 대운 편,이연실,대유학당,2020.12.29 (종이책 출간 2020.09.10),"19,800원",8.2,인문
예기보주. 9,김재로,학고방,2021.06.25 (종이책 출간 2018.05.15),"29,700원",0,인문
작업 인문학,김갑수,살림,2017.01.09 (종이책 출간 2016.12.20),"9,450원",8.3,인문
나도 아직 나를 모른다,허지원,김영사,2020.11.12 (종이책 출간 2020.11.09),"9,270원",9.8,인문
켄 윌버의 신,켄 윌버,김영사,2016.04.08 (종이책 출간 2016.03.15),"9,450원",9,인문
기분이 태도가 되지 않으려면,나겨울,떠오름,2022.01.28 (종이책 출간 2021.08.30),"8,505원",8.6,인문
인생의 절반쯤 왔을 때 읽어야 할 논어,공자,탐나는책,2018.10.30 (종이책 출간 2017.04.03),"8,820원",10,인문
문화어 수업,한성우,어크로스,2019.08.23 (종이책 출간 2019.08.12),"9,450원",7.5,인문
단군의 가림토 문자와 일본의 신대 문자,김문길,책사랑,2017.07.20 (종이책 출간 2015.09.10),"18,000원",0,인문
관계를 읽는 시간,문요한,더퀘스트,2018.10.19 (종이책 출간 2018.10.25),"10,080원",9.6,인문
우울할 땐 뇌 과학,앨릭스 코브,심심,2018.04.16 (종이책 출간 2018.03.12),"11,475원",9.2,인문
인생을 숙제처럼 살지 않기로 했다,웃따,다산북스,2023.02.01 (종이책 출간 2023.02.01),"10,710원",10,인문
사피엔스,유발 하라리,김영사,2015.11.23 (종이책 출간 2017.01.10),"15,750원",10,인문
불륜의 심리학,게르티 젱어,탐나는책,2023.01.20 (종이책 출간 2023.01.20),"12,600원",10,인문
2023 청소년상담사 3급 한권으로 끝내기,SD 청소년상담사 수험연구소,시대고시기획,2023.02.06 (종이책 출간 2023.02.06),"26,460원",10,인문
2023 해커스 한국사능력검정시험 한능검 심화(1급·2급·3급) 하: 조선 후기-현대,해커스 한국사연구소,챔프스터디,2023.01.09 (종이책 출간 2023.01.03),"8,280원",10,인문
2023 해커스 한국사능력검정시험 한능검 심화(1급·2급·3급) 상: 선사 시대-조선 전기,해커스 한국사연구소,챔프스터디,2023.01.09 (종이책 출간 2023.01.03),"8,280원",10,인문
빅 히스토리,데이비드 크리스천,웅진지식하우스,2022.12.26 (종이책 출간 2022.12.23),"20,700원",9.5,인문
불안의 밤에 고하는 말,매트 헤이그,위즈덤하우스,2022.12.23 (종이책 출간 2022.12.07),"10,710원",9.7,인문
대학원생을 위한 빈출 行草 150字,신영미,시삼백,2023.01.03,"2,970원",10,인문
조국의 법고전 산책,조국,오마이북,2022.12.07 (종이책 출간 2022.11.09),"13,860원",9.8,인문
블랙홀 메커니즘,태라 전난영,기억의창고,2022.11.01,"12,600원",10,인문
